"Meaning","Kanji","OnyomiKun"
"one","一","ichi; itsu [hito-tsu; hito]"
"two","二","ni; ji [futa-tsu; futa]"
"three","三","san [mit-tsu; mitsu; mi]"
"four","四","shi [yot-tsu; yotsu; yon; yo]"
"five","五","go [itsu-tsu; itsu]"
"six","六","roku [mut-tsu; mutsu; mu; mui]"
"seven","七","shichi [nana-tsu; nana; nano]"
"eight","八","hachi [yat-tsu; yatsu; ya; you]"
"nine","九","ku; kyuu [kokono-tsu; kokono]"
"ten","十","juu; ji- (じっ = jixtsu) [too; to]"
"hundred","百","hyaku [(momo)]"
"thousand","千","sen [chi]"
"top","上","jou [ue; a-geru; a-garu; nobo-ru; kami; uwa]"
"below","下","ka; ge [shita; shimo; sa-geru; sa-garu; kuda-ru; kuda-su; kuda-saru; o-rosu; o-riru]"
"left","左","sa [hidari]"
"right","右","u; yuu [migi]"
"inside; middle","中","chuu; juu [naka]"
"large","大","dai; tai [oo-kii; oo-ini]"
"small","小","shou [chii-sai; ko; o]"
"month; moon","月","gatsu; getsu [tsuki]"
"day; sun","日","nichi; jitsu [hi; ka]"
"year","年","nen [toshi]"
"early","早","sou [haya-i; haya-meru; haya-maru]"
"tree","木","moku; boku [ki; ko]"
"woods","林","rin [hayashi]"
"mountain","山","san [yama]"
"river","川","(sen) [kawa]"
"soil","土","do; to [tsuchi]"
"sky","空","kuu [sora; a-ku a-keru; kara]"
"rice paddy","田","den [ta]"
"heaven; sky","天","ten [ama]"
"life","生","sei; shou [i-kiru; u-mu; u-mareru; nama; i-kasu; i-keru; ha-yasu; ha-eru]"
"flower","花","ka [hana]"
"grass","草","sou [kusa]"
"insect","虫","chuu [mushi]"
"dog","犬","ken [inu]"
"person","人","jin; nin [hito]"
"name","名","mei; myou [na]"
"female","女","jo; nyo [on’na]"
"male","男","dan; nan [otoko]"
"child","子","shi; su [ko]"
"eye","目","moku [me]"
"ear","耳","ji [mimi]"
"mouth","口","kou [kuchi]"
"hand","手","shu [te]"
"foot or leg","足","soku [ashi]"
"see","見","ken [mi-ru]"
"sound","音","on [ne; oto]"
"power","力","riki; ryoku [chikara]"
"spirit","気","ki; ke []"
"circle; yen","円","en [maru]"
"enter","入","nyuu [hai-ru; i-ru]"
"exit","出","shutsu [de-ru]"
"stand up","立","ritsu [ta-tsu]"
"rest","休","kyuu [yasu-mu]"
"previous","先","sen [saki]"
"evening","夕","seki [yuu]"
"book","本","hon [moto]"
"writing","文","bun; mon [fumi]"
"character","字","ji [aza]"
"study","学","gaku [mana-bu]"
"school","校","kou []"
"village","村","son [mura]"
"town","町","chou [machi]"
"forest","森","shin [mori]"
"correct","正","sei [tada-shii]"
"water","水","sui [mizu]"
"fire","火","ka [hi]"
"gem","玉","gyoku [tama]"
"king","王","ou []"
"stone","石","seki [ishi]"
"bamboo","竹","chiku [take]"
"thread","糸","shi [ito]"
"shellfish","貝"," [kai]"
"wheeled vehicle","車","sha [kuruma]"
"gold","金","kin [kane]"
"rain","雨","u [ame]"
"red","赤","seki [aka]"
"blue","青","sei [ao]"
"white","白","haku [shiro]"
"number","数","suu [kazu]"
"many, much","多","ta [oo-i]"
"a few, a little","少","shou [suku-nai; suko-shi]"
"ten thousand","万","man [yorozu]"
"half","半","han [naka-ba]"
"shape","形","kei; gyou [katachi]"
"great","太","ta [futo-i]"
"thin","細","sai [hoso-i]"
"wide","広","kou [hiro-i]"
"long","長","chou [naga-i]"
"point","点","ten [bochi △]"
"circle","丸","gan [maru]"
"mix","交","kou [maji-waru]"
"light","光","kou [hikari; hika-ru]"
"angle, corner","角","kaku [kado; tsuno; sumi]"
"measure","計","kei [haka-ru]"
"straight, correct","直","choku; jiki [tada-chi; nao-su]"
"line","線","sen []"
"arrow","矢","shi [ya]"
"weak","弱","jaku [yowa-i]"
"strong","強","kyou [tsuyo-i]"
"tall or high","高","kou [taka-i]"
"same","同","dou [ona-ji]"
"parent","親","shin [oya]"
"mother","母","bo [haha; kaa]"
"father","父","fu [chichi; tou]"
"older sister","姉","shi [ane]"
"older brother","兄","(kei); kyou [ani]"
"younger brother","弟","(tei); dai [otouto]"
"younger sister","妹","mai [imouto]"
"oneself","自","ji; shi [mizuka-ra]"
"friend","友","yuu [tomo]"
"body","体","tai [karada]"
"hair","毛","mou [ke]"
"head","頭","tou [atama]"
"face","顔","gan [kao]"
"neck","首","shu [kubi]"
"heart","心","shin [kokoro]"
"time","時","ji [toki]"
"weekday","曜","you []"
"morning","朝","chou [asa]"
"daytime","昼","chuu [hiru]"
"night","夜","ya [yoru]"
"minute; understand","分","fun; bun; bu [wa-karu; wa-keru; wa-kereru; wa-katsu]"
"week","週","shuu []"
"spring","春","shun [haru]"
"summer","夏","ka [natsu]"
"autumn","秋","shuu [aki]"
"winter","冬","tou [fuyu]"
"now","今","kon [ima]"
"new","新","shin [atara-shii]"
"old","古","ko [furu-i]"
"interval","間","kan; ken [ma; aida]"
"direction","方","hou [kata]"
"north","北","hoku [kita]"
"south","南","nan [minami]"
"east","東","tou [higashi; azuma]"
"west","西","sei; sai [nishi]"
"far","遠","en [too-i]"
"near","近","kin [chika-i]"
"in front","前","zen [mae]"
"behind","後","go; kou [nochi; ushi-ro; ato]"
"inside","内","nai [uchi]"
"outside","外","gai; ge [soto; hoka; hazu-su]"
"place","場","jou [ba]"
"ground","地","chi; ji []"
"country","国","koku [kuni]"
"garden","園","en [sono]"
"valley","谷","koku [tani]"
"field","野","ya [no]"
"field, origin","原","gen [hara]"
"village","里","ri [sato]"
"city","市","shi [ichi]"
"capital","京","kyou; (kei) [miyako]"
"wind","風","fuu [kaze]"
"snow","雪","setsu [yuki]"
"cloud","雲","un [kumo]"
"pond","池","chi [ike]"
"sea","海","kai [umi]"
"rock","岩","gan [iwa]"
"star","星","sei [hoshi]"
"room","室","shitsu [muro]"
"door","戸","ko [to; be]"
"house","家","ka; ke [ie]"
"Buddhist temple","寺","ji [tera]"
"pass through","通","tsuu [too-ru]"
"gates","門","mon [kado]"
"road","道","dou [michi]"
"talk","話","wa [hanashi; hana-su]"
"say","言","gen; gon [i-u; koto]"
"answer","答","tou [kota-eru; kota-e]"
"voice","声","sei [koe]"
"hear","聞","bun; mon [ki-ku]"
"language","語","go [kata-ru]"
"read","読","doku [yo-mu]"
"write","書","sho [ka-ku]"
"write down","記","ki [shiru-su]"
"paper","紙","shi [kami]"
"picture","画","ga; kaku []"
"picture","絵","kai [e]"
"drawing","図","zu; to [(haka-ru)]"
"craft","工","kou; ku []"
"teach","教","kyou [oshi-eru]"
"clear","晴","sei [hare]"
"think","思","shi [omo-u]"
"think about","考","kou [kanga-eru]"
"know","知","chi [shi-ru]"
"ability","才","sai; zai [(wazukani); (zae)]"
"reason","理","ri [kotowari]"
"calculate","算","san []"
"make","作","saku [tsuku-ru]"
"origin","元","gen; gan [moto]"
"eat,meal","食","shoku [ta-beru; ku-u]"
"meat","肉","niku []"
"horse","馬","ba [uma; ma]"
"cow","牛","gyuu [ushi]"
"fish","魚","gyo [uo; sakana]"
"bird","鳥","chou [tori]"
"feather","羽","u [ha; hane]"
"chirp","鳴","mei [na-ku]"
"wheat","麦","baku [mugi]"
"rice","米","bei; mai [kome]"
"tea","茶","cha; sa []"
"colour","色","shoku [iro]"
"yellow","黄","ou [ki]"
"black","黒","koku [kuro]"
"come","来","rai [ku-ru]"
"go","行","kou; gyou [i-ku; yu-ku; okona-u]"
"return home","帰","ki [kae-ru]"
"walk","歩","ho [aru-ku; ayu-mu]"
"run","走","sou [hashi-ru]"
"stop","止","shi [to-maru]"
"active, alive","活","katsu [iki-ru; ika-su]"
"store","店","ten [mise]"
"buy","買","bai [ka-u]"
"sell","売","bai [u-ru]"
"noon","午","go [uma]"
"steam","汽","ki []"
"bow","弓","kyuu [yumi]"
"-times, to revolve","回","kai []"
"association","会","kai; e [a-u]"
"association, team","組","so [kumi]"
"ship","船","sen [fune]"
"bright","明","mei [aka-rui]"
"company","社","sha [yashiro]"
"cut","切","setsu [ki-ru]"
"electricity","電","den []"
"every","毎","mai []"
"fit","合","gou [a-u]"
"hit","当","tou [a-taru]"
"base","台","dai; tai []"
"pleasure","楽","raku [tano-shii]"
"public","公","kou [ouyake]"
"pull","引","in [hi-ku]"
"section","科","ka []"
"song","歌","ka [uta]"
"sword","刀","tou [katana]"
"number","番","ban []"
"use","用","you [mochi-iru]"
"what","何","ka [nani; nan]"
"pair","丁","chou []"
"world","世","sei; se [yo]"
"both","両","ryou []"
"master","主","shu [nushi; omo-na; omo-ni]"
"ride","乗","jou [no-ru]"
"in advance","予","yo []"
"abstract thing","事","ji [koto]"
"serve","仕","shi [tsuka-eru]"
"other","他","ta [hoka]"
"substitute","代","dai; tai [ka-waru; yo]"
"dwell","住","juu [su-mu]"
"use","使","shi [tsuka-u]"
"person in charge","係","kei [kakari; kaka-ru]"
"double","倍","bai []"
"whole","全","zen [matta-ku]"
"tool","具","gu []"
"copy","写","sha [utsu-su; utsu-ru]"
"row","列","retsu []"
"help","助","jo [tasu-keru]"
"diligence","勉","ben [tsuto-meru]"
"move","動","dou [ugo-ku]"
"win","勝","shou [ka-tsu]"
"disguise, -ification","化","ka [ba-keru; ba-kasu]"
"ward","区","ku []"
"doctor","医","i []"
"leave","去","kyo; ko [sa-ru]"
"anti-","反","han [so-ru]"
"take","取","shu [to-ru]"
"receive","受","ju [u-keru; u-karu]"
"number","号","gou []"
"face(v.)","向","kou [mu-kau; mu-keru; mu-ku; mu-kou]"
"you","君","kun [kimi]"
"flavor","味","mi [aji; aji-wau]"
"life","命","mei [inochi]"
"peace, sum","和","wa []"
"article","品","hin [shina]"
"member","員","in []"
"commerce","商","shou []"
"question","問","mon [to-i, to-u; ton]"
"slope","坂"," [saka]"
"center","央","ou []"
"begin","始","shi [haji-meru; haji-maru]"
"committee","委","i [yuda-neru]"
"protect","守","shu [mamo-ru]"
"cheap","安","an [yasu-i]"
"fix","定","tei; jou [sada-meru; sada-maru]"
"fruit or content","実","jitsu [mi; mino-ru]"
"guest","客","kyaku []"
"Shinto shrine or prince (princess)","宮","kyuu [miya]"
"inn","宿","shuku [yado; yado-ru]"
"cold","寒","kan [samu-i]"
"opposite","対","tai []"
"office","局","kyoku []"
"premise","屋","oku [ya]"
"shore","岸","gan [kishi]"
"island","島","tou [shima]"
"state","州","shuu []"
"account book","帳","chou []"
"flat","平","hei; byou [tai-ra; hira]"
"happiness","幸","kou [saiwa-i; shiawa-se]"
"degrees, occurrences","度","do []"
"warehouse","庫","ko []"
"garden","庭","tei [niwa]"
"style","式","shiki []"
"role","役","yaku []"
"wait","待","tai [ma-tsu]"
"hurry","急","kyuu [iso-gu]"
"breath","息","soku [iki]"
"bad","悪","aku [waru-i]"
"sad","悲","hi [kana-shii]"
"thought","想","sou []"
"idea","意","i []"
"feel","感","kan []"
"place","所","sho [tokoro]"
"hit","打","da [u-tsu]"
"throw","投","tou [na-geru]"
"pick up","拾"," [hiro-u]"
"hold","持","ji [mo-tsu]"
"finger","指","shi [yubi; sa-su]"
"release","放","hou [hana-su; hana-reru; hana-tsu; hou-ru]"
"put in order","整","sei [totono-eru]"
"trip","旅","ryo [tabi]"
"tribe","族","zoku []"
"long ago","昔"," [mukashi]"
"clear","昭","shou []"
"hot","暑","sho [atsu-i]"
"dark","暗","an [kura-i]"
"sheet music / crooked","曲","kyoku [ma-garu; ma-geru]"
"be, possession","有","yuu [a-ru]"
"clothes","服","fuku []"
"period of time","期","ki []"
"board","板","han; ban [ita]"
"pillar","柱","chuu [hashira]"
"root","根","kon [ne]"
"plant","植","shoku [u-eru]"
"business","業","gyou []"
"appearance or Mr (Mrs,Ms)","様","you [sama]"
"side","横","ou [yoko]"
"bridge","橋","kyou [hashi]"
"next","次","ji [tsugi; tsu-gu]"
"tooth","歯","shi [ha]"
"death","死","shi [shi-nu]"
"ice","氷","hyou [kouri]"
"decide","決","ketsu [ki-meru; ki-maru]"
"oil","油","yu [abura]"
"wave","波","ha [nami]"
"pour","注","chuu [soso-gu]"
"swim","泳","ei [oyo-gu]"
"ocean, western","洋","you []"
"stream","流","ryuu [naga-reru]"
"extinguish","消","shou [ki-eru; ke-su]"
"deep","深","shin [fuka-i]"
"warm","温","on [atata-kai; atata-ka; atata-maru; atata-meru]"
"harbor","港","kou [minato]"
"lake","湖","ko [mizuumi]"
"hot water","湯","tou [yu]"
"China","漢","kan []"
"charcoal","炭","tan [sumi]"
"thing","物","butsu; motsu [mono]"
"ball","球","kyuu [tama]"
"reason","由","yuu; yu [yoshi]"
"say","申"," [mou-su]"
"world","界","kai []"
"agricultural field","畑"," [hata; hatake]"
"sick","病","byou [yamai]"
"departure","発","hatsu []"
"climb","登","tou; to [nobo-ru]"
"skin","皮","hi [kawa]"
"dish","皿"," [sara]"
"mutual","相","sou [ai]"
"prefecture","県","ken []"
"TRUE","真","shin [ma]"
"wear or arrive","着","chaku [ki-ru; tsu-ku]"
"short","短","tan [mijika-i]"
"sharpen","研","ken [to-gu]"
"thanks","礼","rei []"
"god(s)","神","shin; jin [kami]"
"festival","祭","sai [matsu-ri; matsu-ru]"
"luck","福","fuku []"
"second","秒","byou []"
"research","究","kyuu []"
"chapter","章","shou []"
"juvenile","童","dou []"
"whistle","笛","teki [fue]"
"ordinal number prefix","第","dai []"
"writing brush","筆","hitsu [fude]"
"class","等","tou [hito-shii]"
"box","箱"," [hako]"
"rank","級","kyuu []"
"end","終","shuu [o-waru; o-eru]"
"green","緑","ryoku [midori]"
"practice","練","ren [ne-ru]"
"sheep","羊","you [hitsuji]"
"beauty","美","bi [utsuku-shii]"
"learn","習","shuu [nara-u]"
"someone","者","sha [mono]"
"nurture","育","iku [soda-tsu]"
"suffer","苦","ku [kuru-shii; niga-i]"
"luggage","荷","ka [ni]"
"fall","落","raku [o-chiru; o-tosu]"
"leaf","葉","you [ha]"
"medicine","薬","yaku [kusuri]"
"blood","血","ketsu [chi]"
"list or surface","表","hyou [omote; arawa-su; arawa-reru]"
"poem","詩","shi []"
"investigate","調","chou [shira-beru]"
"discuss","談","dan []"
"beans","豆","tou or zu [mame]"
"lose","負","fu [ma-keru; o-u]"
"wake up","起","ki [o-kiru; o-koru; o-kosu]"
"road","路","ro [ji]"
"body","身","shin [mi]"
"revolve","転","ten [koro-bu]"
"light","軽","kei [karu-i]"
"farming","農","nou []"
"return","返","hen [kae-su; kae-ru]"
"follow","追","tsui [o-u]"
"send","送","sou [oku-ru]"
"fast","速","soku [haya-i; haya-maru; haya-meru]"
"advance","進","shin [susu-mu]"
"play","遊","yuu [aso-bu]"
"carry","運","un [hako-bu]"
"part","部","bu []"
"metropolis","都","to; tsu [miyako]"
"distribute","配","hai [kuba-ru]"
"rice wine","酒","shu [sake; saka]"
"heavy","重","juu; chou [omo-i; kasa-neru]"
"iron","鉄","tetsu []"
"silver","銀","gin []"
"open","開","kai [hira-ku; a-ku; hira-keru; a-keru]"
"institution","院","in []"
"sunshine","陽","you []"
"floor of a building","階","kai []"
"collect","集","shuu [atsu-maru; atsu-meru]"
"face","面","men [omo-te; tsura]"
"topic","題","dai []"
"drink","飲","in [no-mu]"
"public building","館","kan [yakata]"
"station","駅","eki []"
"nose","鼻","bi [hana]"
"not","不","fu or bu []"
"conflict","争","sou [araso-u]"
"attach","付","fu [tsu-ku]"
"orders","令","rei []"
"since","以","i []"
"go-between","仲","chuu [naka]"
"transmit","伝","den [tsuta-eru]"
"rank","位","i [kurai]"
"low","低","tei [hiku-i]"
"example","例","rei [tato-eru]"
"convenience","便","ben or bin [tayo-ri]"
"trust","信","shin []"
"storage","倉","sou [kura]"
"climate","候","kou []"
"borrow","借","shaku [ka-riru]"
"halt","停","tei []"
"healthy","健","ken []"
"side","側","soku [kawa]"
"work","働","dou [hatara-ku]"
"hundred million","億","oku []"
"portent or trillion","兆","chou [kiza-shi]"
"child","児","ji or ni []"
"together","共","kyou [tomo]"
"soldier","兵","hei or hyou [tsuwamono]"
"code","典","ten []"
"cool","冷","rei [tsume-tai or hi-eru or sa-meru]"
"first","初","sho [hatsu or haji-me]"
"separate","別","betsu [waka-reru]"
"profit","利","ri []"
"printing","刷","satsu [su-ru]"
"vice-","副","fuku []"
"achievement","功","kou []"
"add","加","ka [kuwa-eru]"
"toil","努","do [tsuto-meru]"
"labor","労","rou [negira-u]"
"courage","勇","yuu [isa-mu]"
"wrap","包","hou [tsutsu-mu]"
"graduate","卒","sotsu []"
"cooperation","協","kyou []"
"simple","単","tan []"
"Dr.","博","haku []"
"mark","印","in [shirushi]"
"participate","参","san [mai-ru]"
"history","史","shi []"
"director","司","shi []"
"each","各","kaku [ono-ono]"
"tell","告","koku [tsu-geru]"
"circumference","周","shuu [mawa-ri]"
"chant","唱","shou [tona-eru]"
"rejoice","喜","ki [yoroko-bu]"
"container","器","ki [utsuwa]"
"surround","囲","i [kako-u]"
"harden","固","ko [kata-maru]"
"model","型","kei [kata]"
"public chamber","堂","dou []"
"salt","塩","en [shio]"
"gentleman","士","shi []"
"change","変","hen [ka-waru]"
"husband","夫","fu fuu bu [otto]"
"lose","失","shitsu [ushina-u]"
"like","好","kou [su-ku or kono-mu]"
"seasons","季","ki []"
"grandchild","孫","son [mago]"
"perfect","完","kan []"
"government official","官","kan []"
"harm","害","gai []"
"guess","察","satsu []"
"nest","巣","sou [su]"
"distinction","差","sa []"
"hope","希","ki [mare]"
"seat","席","seki []"
"sash","帯","tai [obi]"
"bottom","底","tei [soko]"
"urban prefecture","府","fu []"
"ease","康","kou []"
"build","建","ken [ta-teru]"
"diameter","径","kei []"
"junior","徒","to []"
"acquire","得","toku [e-ru]"
"without fail","必","hitsu [kanara-zu]"
"thought","念","nen []"
"love","愛","ai []"
"become","成","sei [na-ru]"
"war","戦","sen [ikusa or tataka-u]"
"fold","折","setsu [o-ru]"
"raise","挙","kyo [a-geru]"
"reformation","改","kai [arata-meru]"
"salvation","救","kyuu [suku-u]"
"failure","敗","hai [yabu-reru]"
"scatter","散","san [chi-ru]"
"fee","料","ryou []"
"national flag","旗","ki [hata]"
"previous","昨","saku []"
"scenery","景","kei []"
"most","最","sai [mo or motto-mo]"
"hope","望","bou [nozo-mu]"
"un-","未","mi [ima-da]"
"end","末","matsu [sue]"
"tag","札","satsu [fuda]"
"lumber","材","zai []"
"bundle","束","soku [taba or tsuka]"
"pine","松","shou [matsu]"
"fruit, accomplish","果","ka [ha-tasu]"
"prosperity","栄","ei [saka-eru]"
"plan","案","an []"
"apricot","梅","bai [ume]"
"contraption","械","kai []"
"poles","極","kyoku [kiwa-meru]"
"signpost","標","hyou []"
"machine","機","ki [hata]"
"lack","欠","ketsu [ka-keru]"
"curriculum","歴","reki []"
"remainder","残","zan [noko-ru]"
"kill","殺","satsu [koro-su]"
"poison","毒","doku []"
"family name","氏","shi [uji]"
"people","民","min [tami]"
"request","求","kyuu [moto-mu]"
"govern","治","chi or ji [osa-meru or nao-ru]"
"method","法","hou []"
"cry","泣","kyuu [na-ku]"
"shallow","浅","sen [asa-i]"
"bathe","浴","yoku [abi-ru]"
"pure","清","sei or shou [kiyo-raka]"
"full","満","man [mi-chiru]"
"fishing","漁","ryou or gyou [asa-ru]"
"lamp","灯","tou [hi]"
"nothing","無","mu or bu [na-i]"
"so","然","zen or nen [shika-shi]"
"bake","焼","shou [ya-ku]"
"illuminate","照","shou [te-rasu]"
"heat","熱","netsu [atsu-i]"
"breed","牧","boku [maki]"
"special","特","toku []"
"give birth","産","san [u-mu]"
"target","的","teki [mato]"
"government ministry","省","sho or sei [habu-ku]"
"celebrate","祝","shuku [iwa-u]"
"ballot","票","hyou []"
"kind or seed","種","shu [tane]"
"accumulate","積","seki [tsu-mu]"
"emulate","競","kyou [kiso-u]"
"laugh","笑","shou [wara-u]"
"pipe","管","kan [kuda]"
"node","節","setsu [fushi]"
"flour","粉","fun [ko or kona]"
"chronicle","紀","ki []"
"promise","約","yaku []"
"tie","結","ketsu [musu-bu or yu-u]"
"salary","給","kyuu [tama-u]"
"continue","続","zoku [tsudu-ku]"
"put","置","chi [o-ku]"
"old man","老","rou [o-iru]"
"stomach","胃","i []"
"vein","脈","myaku []"
"intestines","腸","chou []"
"retainer","臣","shin []"
"cruise","航","kou []"
"good","良","ryou [yo-i]"
"art","芸","gei []"
"bud","芽","ga [me]"
"England","英","ei []"
"vegetable","菜","sai [na]"
"city","街","gai [machi]"
"clothes","衣","i [koromo]"
"need","要","you [i-ru]"
"memorize","覚","kaku [obo-eru or sa-meru]"
"observe","観","kan [mi-ru]"
"instruction","訓","kun []"
"test","試","shi [kokoromi-ru or tame-su]"
"theory","説","setsu [to-ku]"
"section","課","ka []"
"deliberation","議","gi []"
"elephant","象","zou or shou []"
"freight","貨","ka []"
"savings","貯","cho [ta-meru]"
"expense","費","hi [tsui-yasu]"
"prize","賞","shou []"
"army","軍","gun []"
"wheel","輪","rin [wa]"
"resign","辞","ji [ya-meru]"
"environs","辺","hen [ata-ri]"
"take along","連","ren [tsu-reru or tsura-neru]"
"attain","達"," [tachi]"
"choose","選","sen [era-bu]"
"county","郡","gun []"
"quantity","量","ryou []"
"record","録","roku []"
"mirror","鏡","kyou [kagami]"
"related","関","kan [seki]"
"land","陸","riku []"
"group","隊","tai []"
"quiet","静","sei [shizu-ka]"
"obey","順","jun []"
"request","願","gan [nega-u]"
"sort","類","rui []"
"fly","飛","hi [to-bu]"
"meal","飯","han [meshi]"
"foster","養","you [yashina-u]"
"test","験","ken []"
"long time","久","kyuu [hisa]"
"Buddha","仏","hutsu or butsu [hotoke]"
"sham","仮","ka or ke [kari]"
"affair","件","ken []"
"responsibility","任","nin [maka-seru]"
"becoming","似","ji [ni-ru]"
"too much","余","yo [ama-ru]"
"value","価","ka [atai]"
"preserve","保","ho [tamo-tsu]"
"discipline","修","shuu [osa-meru]"
"straw bag","俵","hyou [tawara]"
"individual","個","ko []"
"provide","備","bi [sona-eru]"
"statue","像","zou []"
"again","再","sai or sa [futata-bi]"
"publish","刊","kan []"
"judge","判","han [waka-ru]"
"control","制","sei []"
"ticket","券","ken []"
"rule","則","soku [notto-ru]"
"effect","効","kou [ki-ku]"
"duty","務","mu [tsuto-meru]"
"power","勢","sei [ikio-i]"
"thick","厚","kou [atsu-i]"
"phrase","句","ku []"
"possible","可","ka []"
"manage","営","ei [itona-mu]"
"cause","因","in [yo-ru]"
"group","団","dan or ton []"
"pressure","圧","atsu []"
"exist","在","zai [a-ru]"
"level","均","kin []"
"foundation","基","ki [moto-duku]"
"report","報","hou [muku-iru]"
"boundary","境","kyou [sakai]"
"grave","墓","bo [haka]"
"increase","増","zou [ma-su or fu-eru]"
"dream","夢","mu [yume]"
"wife","妻","sai [tsuma]"
"lady","婦","fu []"
"contain","容","you []"
"approach","寄","ki [yo-ru]"
"rich","富","fu [tomi]"
"guide","導","dou [michibi-ku]"
"reside","居","kyo [i-ru]"
"belong","属","zoku []"
"linen","布","fu [nuno]"
"expert","師","shi []"
"normal","常","jou [tsune]"
"tree-trunk","幹","kan [miki]"
"preface","序","jo []"
"valve","弁","ben []"
"stretch","張","chou [ha-ru]"
"journey","往","ou []"
"repeating","復","fuku []"
"virtue","徳","toku []"
"intention","志","shi [kokorozashi]"
"respond","応","ou []"
"cheerful","快","kai [kokoroyo-i]"
"gender","性","sei or shou [saga]"
"grace","恩","on []"
"feelings","情","jou [nasa-ke]"
"condition","態","tai []"
"accustomed","慣","kan [na-reru]"
"acquiesce","承","shou [uketamawa-ru]"
"skill","技","gi [waza]"
"beckon","招","shou [mane-ku]"
"instruct","授","ju [sazu-keru]"
"pick","採","sai [to-ru]"
"contact","接","setsu [ses-suru or tsu-gu]"
"present","提","tei [sa-geru]"
"loss","損","son [soko-neru]"
"branch","支","shi [sasa-eru]"
"politics","政","sei [matsurigoto]"
"circumstances","故","ko [yue]"
"enemy","敵","teki [kataki]"
"cut off","断","dan [ta-tsu or kotowa-ru]"
"old times","旧","kyuu []"
"easy","易","eki [yasa-shii]"
"outburst","暴","bou [aba-ku]"
"clause","条","jou []"
"branch","枝","shi [eda]"
"investigate","査","sa []"
"status","格","kaku []"
"cherry","桜","ou [sakura]"
"examine","検","ken []"
"construct","構","kou [kama-eru]"
"military","武","bu or mu []"
"compare","比","hi [kura-beru]"
"eternity","永","ei [naga-i]"
"river","河","ka [kawa]"
"fluid","液","eki []"
"mix","混","kon [ma-zaru]"
"decrease","減","gen [he-ru]"
"fathom","測","soku [haka-ru]"
"standard","準","jun []"
"perform","演","en []"
"undefiled","潔","ketsu [isagiyo-i]"
"disaster","災","sai [wazawa-i]"
"burn","燃","nen [mo-eru]"
"printing block","版","han []"
"crime","犯","han [oka-su]"
"form","状","jou []"
"alone","独","doku [hito-ri]"
"rate","率","ritsu or sotsu [hiki-iru]"
"appear","現","gen [arawa-reru]"
"detain","留","ryuu ru [todo-maru]"
"abbreviation","略","ryaku []"
"benefit","益","eki []"
"eyeball","眼","gan [me]"
"rend","破","ha [yabu-ru]"
"certain","確","kaku [tashi-ka]"
"indicate","示","shi [shime-su]"
"ancestor","祖","so []"
"prohibition","禁","kin []"
"shift","移","i [utsu-ru]"
"extent","程","tei [hodo]"
"tax","税","zei []"
"fabricate","築","chiku [kizu-ku]"
"refined","精","sei []"
"elementary","素","su or so [moto]"
"manage","経","kei or kyou [he-ru]"
"unite","統","tou [su-beru]"
"discontinue","絶","zetsu [ta-tsu]"
"cotton","綿","men [wata]"
"whole","総","sou []"
"compile","編","hen [a-mu]"
"exploits","績","seki []"
"weave","織","shiki [o-ru]"
"guilt","罪","zai [tsumi]"
"flock","群","gun [mu-reru]"
"righteousness","義","gi []"
"till","耕","kou [tagaya-su]"
"employment","職","shoku []"
"fertilizer","肥","hi [ko-yasu]"
"ability","能","nou []"
"entertain","興","kyou [oko-su]"
"tongue","舌","zetsu [shita]"
"cottage","舎","sha []"
"art","術","jutsu [sube]"
"defense","衛","ei []"
"manufacture","製","sei []"
"duplicate","複","fuku []"
"rule","規","ki []"
"untie","解","ge or kai [to-ku]"
"establish","設","setsu [mouke-ru]"
"permit","許","kyo [yuru-su]"
"evidence","証","shou [akashi]"
"evaluate","評","hyou []"
"lecture","講","kou []"
"apologize","謝","sha [ayama-ru]"
"discriminating","識","shiki []"
"safeguard","護","go [mamo-ru]"
"bountiful","豊","hou [yuta-ka]"
"wealth","財","zai []"
"poor","貧","hin [mazushi-i]"
"blame","責","seki [se-meru]"
"lend","貸","tai [ka-su]"
"trade","貿","bou []"
"congratulations","賀","ga []"
"resources","資","shi []"
"approve","賛","san []"
"quality","質","shitsu []"
"transport","輸","yu []"
"mention","述","jutsu [no-beru]"
"astray","迷","mei [mayo-u]"
"retreat","退","tai [shirizo-ku]"
"inverted","逆","gyaku [sakara-u]"
"create","造","zou [tsuku-ru]"
"go beyond","過","ka [ayama-chi]"
"suitable","適","teki []"
"acid","酸","san []"
"mineral","鉱","kou []"
"copper","銅","dou []"
"coin","銭","sen [zeni]"
"prevent","防","bou [fuse-gu]"
"limit","限","gen [kagi-ru]"
"precipitous","険","ken [kewa-shii]"
"occasion","際","sai [kiwa]"
"miscellaneous","雑","zatsu []"
"negative","非","hi [ara-zu]"
"deposit","預","yo [azu-keru]"
"territory","領","ryou []"
"amount","額","gaku [hitai]"
"domesticate","飼","shi [ka-u]"
